Set	ID
Evaluation set	MGYS00000921
Evaluation set	MGYS00000922
Evaluation set	MGYS00000923
Evaluation set	MGYS00000924
Evaluation set	MGYS00000925
Evaluation set	MGYS00000926
Evaluation set	MGYS00000929
Evaluation set	MGYS00000932
Evaluation set	MGYS00000933
Evaluation set	MGYS00000934
Evaluation set	MGYS00000935
Evaluation set	MGYS00000936
Evaluation set	MGYS00000939
Evaluation set	MGYS00000944
Evaluation set	MGYS00000945
Evaluation set	MGYS00000946
Evaluation set	MGYS00000947
Evaluation set	MGYS00000948
Evaluation set	MGYS00000950
Evaluation set	MGYS00000951
Evaluation set	MGYS00000952
Evaluation set	MGYS00000953
Evaluation set	MGYS00000954
Evaluation set	MGYS00000956
Evaluation set	MGYS00000958
Evaluation set	MGYS00000959
Evaluation set	MGYS00000961
Evaluation set	MGYS00000963
Evaluation set	MGYS00000965
Evaluation set	MGYS00000966
Evaluation set	MGYS00000971
Evaluation set	MGYS00000972
Evaluation set	MGYS00000975
Evaluation set	MGYS00000977
Evaluation set	MGYS00000978
Evaluation set	MGYS00000980
Evaluation set	MGYS00000981
Evaluation set	MGYS00000982
Evaluation set	MGYS00000986
Evaluation set	MGYS00000988
Evaluation set	MGYS00000989
Evaluation set	MGYS00000992
Evaluation set	MGYS00000994
Evaluation set	MGYS00000998
Evaluation set	MGYS00001001
Evaluation set	MGYS00001003
Evaluation set	MGYS00001004
Evaluation set	MGYS00001005
Evaluation set	MGYS00001006
Evaluation set	MGYS00001008
Evaluation set	MGYS00001009
Evaluation set	MGYS00001011
Evaluation set	MGYS00001014
Evaluation set	MGYS00001017
Evaluation set	MGYS00001022
Evaluation set	MGYS00001023
Evaluation set	MGYS00001024
Evaluation set	MGYS00001025
Evaluation set	MGYS00001026
Evaluation set	MGYS00001027
Evaluation set	MGYS00001028
Evaluation set	MGYS00001031
Evaluation set	MGYS00001032
Evaluation set	MGYS00001033
Evaluation set	MGYS00001034
Evaluation set	MGYS00001035
Evaluation set	MGYS00001036
Evaluation set	MGYS00001037
Evaluation set	MGYS00001038
Evaluation set	MGYS00001039
Evaluation set	MGYS00001041
Evaluation set	MGYS00001042
Evaluation set	MGYS00001044
Evaluation set	MGYS00001045
Evaluation set	MGYS00001046
Evaluation set	MGYS00001048
Evaluation set	MGYS00001049
Evaluation set	MGYS00001050
Evaluation set	MGYS00001051
Evaluation set	MGYS00001052
Evaluation set	MGYS00001053
Evaluation set	MGYS00001054
